;titulo;lugaryfecha;categorias
0;MONTER/MONTERKA INDUSTRIJSKIH STROJEVA;Germany (DE) 1 day(s) ago (17/10/2019);Category: Toolmakers and related workers / Agricultural and industrial machinery mechanics and repairers / Electrical mechanics and fitters
1;TIG ZAVARIVAČ/ZAVARIVAČICA;Germany (DE) 1 day(s) ago (17/10/2019);Category: Welders and flamecutters
2;ZAVARIVAČ/ICA;Germany (DE) 1 day(s) ago (17/10/2019);Category: Welders and flamecutters
3;KONOBAR/KONOBARICA;Germany (DE) 1 day(s) ago (17/10/2019);Category: Waiters
4;ZAVARIVAČ/ICA - BRUSAČ/ICA;Germany (DE) 1 day(s) ago (17/10/2019);Category: Welders and flamecutters / Metal working machine tool setters and operators
5;LIMAR/LIMARICA;Germany (DE) 2 day(s) ago (16/10/2019);Category: Welders and flamecutters / Sheet-metal workers / Metal working machine tool setters and operators / Bicycle and related repairers
6;LIMAR/ICA;Germany (DE) 2 day(s) ago (16/10/2019);Category: Sheet-metal workers
7;INSTALATER/KA CENTRALNOG GRIJANJA I KLIMATIZACIJE;Germany (DE) 2 day(s) ago (16/10/2019);Category: Plumbers and pipe fitters
8;VODOINSTALATER/KA;Germany (DE) 2 day(s) ago (16/10/2019);Category: Plumbers and pipe fitters
9;ELEKTRIČAR/ELEKTRIČARKA;Germany (DE) 3 day(s) ago (15/10/2019);Category: Building and related electricians
10;ELEKTRIČAR/KA U INDUSTRIJI;Germany (DE) 3 day(s) ago (15/10/2019);Category: Building and related electricians
11;VODITELJ/VODITELJICA POSTROJENJA ZA TLAČNU OPREMU;Germany (DE) 3 day(s) ago (15/10/2019);Category: Mechanical engineers / Electrical engineers / Mechanical engineering technicians / Civil engineers / Civil engineering technicians / Electrical engineering technicians
12;ZAVARIVAČ/ZAVARIVAČICA;Germany (DE) 3 day(s) ago (15/10/2019);Category: Welders and flamecutters
13;VODITELJ/VODITELJICA U POSLOVIMA INDUSTRIJSKE MONTAŽE;Germany (DE) 4 day(s) ago (14/10/2019);Category: Mechanical engineers / Electrical engineers / Mechanical engineering technicians / Civil engineers / Civil engineering technicians / Electrical engineering technicians
14;MONTER/MONTERKA INDUSTRIJSKIH STROJEVA I TRANSPORTNE TEHNIKE;Germany (DE) 4 day(s) ago (14/10/2019);Category: Mechanical engineering technicians / Welders and flamecutters / Toolmakers and related workers / Agricultural and industrial machinery mechanics and repairers / Electrical mechanics and fitters / Electrical engineering technicians
15;INSTALATER/KA VENTILACIJSKIH UREĐAJA;Germany (DE) 4 day(s) ago (14/10/2019);Category: Plumbers and pipe fitters
16;VODOINSTALATER/KA;Germany (DE) 4 day(s) ago (14/10/2019);Category: Plumbers and pipe fitters
17;VODITELJ TIMA – MONTER/VODITELJICA TIMA – MONTERKA;Germany (DE) 4 day(s) ago (14/10/2019);Category: Metal working machine tool setters and operators / Building and related electricians / Electrical mechanics and fitters
18;STOLAR/STOLARICA;Germany (DE) 7 day(s) ago (11/10/2019);Category: Cabinet-makers and related workers
19;CJEVAR/CJEVARICA;Germany (DE) 7 day(s) ago (11/10/2019);Category: Plumbers and pipe fitters
20;VODITELJ TIMA-CJEVAR / VODITELJICA TIMA-CJEVARICA;Germany (DE) 7 day(s) ago (11/10/2019);Category: Plumbers and pipe fitters
21;ZAVARIVAČ/ZAVARIVAČICA ZA ALUMINIJ;Germany (DE) 7 day(s) ago (11/10/2019);Category: Welders and flamecutters
22;CJEVAR/KA;Germany (DE) 7 day(s) ago (11/10/2019);Category: Plumbers and pipe fitters
23;ELEKTRIČAR-ELEKTROINSTALATER-ELEKTROMONTER / ELEKTRIČARKA-ELEKTROINSTALATERKA-ELEKTROMONTERKA;Germany (DE) 8 day(s) ago (10/10/2019);Category: Building and related electricians / Electrical mechanics and fitters
24;ELEKTROMONTER-MEHATRONIČAR/ELEKTROMONTERKA-MEHATRONIČARKA;Germany (DE) 8 day(s) ago (10/10/2019);Category: Electrical engineers / Electrical engineering technicians / Electrical mechanics and fitters / Electronics engineering technicians
25;BRAVAR/BRAVARICA;Germany (DE) 8 day(s) ago (10/10/2019);Category: Toolmakers and related workers
26;ELEKTROINSTALATER/ELEKTROINSTALATERKA;Germany (DE) 8 day(s) ago (10/10/2019);Category: Electrical engineering technicians / Building and related electricians
27;ZAVARIVAČ/ZAVARIVAČICA INDUSTRIJSKE OPREME;Germany (DE) 8 day(s) ago (10/10/2019);Category: Welders and flamecutters
28;ELEKTRIČAR/ELEKTRIČARKA;Germany (DE) 8 day(s) ago (10/10/2019);Category: Building and related electricians
29;MONTER/MONTERKA STROJEVA;Germany (DE) 9 day(s) ago (09/10/2019);Category: Toolmakers and related workers / Agricultural and industrial machinery mechanics and repairers / Electrical mechanics and fitters
30;SAMOSTALNI/A ELEKTRIČAR/KA;Germany (DE) 9 day(s) ago (09/10/2019);Category: Building and related electricians
31;SAMOSTALNI ELEKTRIČAR / ELEKRTRIČARKA;Germany (DE) 9 day(s) ago (09/10/2019);Category: Building and related electricians
32;RADNIK/RADNICA NA OBRADI METALA I KONSTRUKCIJA;Germany (DE) 9 day(s) ago (09/10/2019);Category: Plumbers and pipe fitters / Welders and flamecutters / Toolmakers and related workers
